Region,Country,City/Town,Year,"Annual mean, ug/m3"
Americas (HIC),Canada,Hinton,2015,9
Americas (HIC),Canada,Hope,2015,6
Americas (HIC),Canada,Houston,2015,10
Americas (HIC),Canada,Inuvik,2015,5
Americas (HIC),Canada,Kamloops,2015,8
Americas (HIC),Canada,Kelowna,2015,9
Americas (HIC),Canada,Kingston,2015,6
Americas (HIC),Canada,Kitchener,2015,9
Americas (HIC),Canada,Kitimat,2015,6
Americas (HIC),Canada,L'assomption,2015,9
Americas (HIC),Canada,La Dore,2015,5
Americas (HIC),Canada,La Patrie,2015,5
Americas (HIC),Canada,La Peche,2015,6
Americas (HIC),Canada,Lac-Edouard,2015,5
Americas (HIC),Canada,Lamont,2015,8
Americas (HIC),Canada,Langdale,2015,6
Americas (HIC),Canada,Langley,2015,7
Americas (HIC),Canada,Laval,2015,8
Americas (HIC),Canada,Lemieux,2015,9
Americas (HIC),Canada,Lethbridge,2015,8
Americas (HIC),Canada,London,2015,8
Americas (HIC),Canada,Longueuil,2015,9
Americas (HIC),Canada,Marystown,2015,6
Americas (HIC),Canada,Medicine Hat,2015,7
Americas (HIC),Canada,Mission,2015,6
Americas (HIC),Canada,Mississauga,2015,8
Americas (HIC),Canada,Moncton,2015,6
Americas (HIC),Canada,Montreal,2015,8
Americas (HIC),Canada,Morrisburg,2013,7
Americas (HIC),Canada,Mount Pearl,2015,4
Americas (HIC),Canada,Nanaimo,2015,4
Americas (HIC),Canada,Nelson,2013,(7)-converted value
Americas (HIC),Canada,Newmarket,2015,7
Americas (HIC),Canada,Norman Wells,2015,(5)-converted value
Americas (HIC),Canada,North Bay,2015,5
Americas (HIC),Canada,North Vancouver,2015,6
Americas (HIC),Canada,Notre-Dame-Du-Rosaire,2013,5
Americas (HIC),Canada,Oakville,2015,8
Americas (HIC),Canada,Oshawa,2015,8
Americas (HIC),Canada,Ottawa,2015,7
Americas (HIC),Canada,Parry Sound,2015,6
Americas (HIC),Canada,Petawawa,2015,5
Americas (HIC),Canada,Peterborough,2015,7
Americas (HIC),Canada,Pictou,2015,7
Americas (HIC),Canada,Pitt Meadows,2015,6
Americas (HIC),Canada,Port Alberni,2015,9
Americas (HIC),Canada,Port Hawkesbury,2015,6
Americas (HIC),Canada,Port Moody,2015,6
Americas (HIC),Canada,Port Stanley,2015,8
Americas (HIC),Canada,Powell River,2015,3
Americas (HIC),Canada,Prince George,2015,(9)-converted value
Americas (HIC),Canada,Quebec,2015,9
Americas (HIC),Canada,Quesnel,2015,10
Americas (HIC),Canada,Red Deer,2015,9
Americas (HIC),Canada,Regina,2015,11
Americas (HIC),Canada,Richmond,2015,6
Americas (HIC),Canada,Rouyn-Noranda,2015,6
Americas (HIC),Canada,Saguenay,2015,8
Americas (HIC),Canada,Saint John,2015,6
Americas (HIC),Canada,Saint-Faustin-Lac-Carre,2015,6
Americas (HIC),Canada,Saint-Jean-Sur-Richelieu,2015,6
Americas (HIC),Canada,Saint-Simon,2015,7
Americas (HIC),Canada,Saint-Zephirin-De-Courval,2015,7
Americas (HIC),Canada,Sarnia,2015,8
Americas (HIC),Canada,Saskatoon,2015,11
Americas (HIC),Canada,Sault Ste. Marie,2015,6
Americas (HIC),Canada,Senneterre,2015,5
Americas (HIC),Canada,Sherbrooke,2015,7
Americas (HIC),Canada,Simcoe,2015,8
Americas (HIC),Canada,Smithers,2015,8
Americas (HIC),Canada,Southampton,2015,3
Americas (HIC),Canada,Squamish,2015,8
Americas (HIC),Canada,St Lina,2015,7
Americas (HIC),Canada,St-Hilaire-De-Dorset,2015,6
Americas (HIC),Canada,St. Andrews,2015,6
Americas (HIC),Canada,St. Catharines,2015,8
Americas (HIC),Canada,St. John's,2015,8
Americas (HIC),Canada,Steeper,2015,3
Americas (HIC),Canada,Stukely-Sud,2015,6
Americas (HIC),Canada,Sudbury,2015,6
Americas (HIC),Canada,Surrey,2015,6
Americas (HIC),Canada,Sydney,2015,6
Americas (HIC),Canada,Terrace,2015,5
Americas (HIC),Canada,Thomson,2013,4
Americas (HIC),Canada,Thorsby,2015,4
Americas (HIC),Canada,Thunder Bay,2015,6
Americas (HIC),Canada,Tingwick,2015,6
Americas (HIC),Canada,Tiverton,2015,6
Americas (HIC),Canada,Tomahawk,2015,5
Americas (HIC),Canada,Toronto,2015,9
Americas (HIC),Canada,Trois-Rivieres,2013,11
Americas (HIC),Canada,Vancouver,2013,7
Americas (HIC),Canada,Vanderhoof,2015,9
Americas (HIC),Canada,Varennes,2015,8
Americas (HIC),Canada,Vernon,2015,9
Americas (HIC),Canada,Victoria,2015,6
Americas (HIC),Canada,Wapasu,2015,8
Americas (HIC),Canada,West Vancouver,2015,5
Americas (HIC),Canada,Whistler,2015,8
Americas (HIC),Canada,Whitehorse,2015,6
Americas (HIC),Canada,Williams Lake,2015,7
Americas (HIC),Canada,Windsor,2015,9
Americas (HIC),Canada,Winnipeg,2015,6
Americas (HIC),Canada,Yellowknife,2015,8
Europe (HIC),Switzerland,Aadorf,2013,(11)-converted value
Europe (HIC),Switzerland,Aadorf,2015,(10)-converted value
Europe (HIC),Switzerland,Aadorf,2016,(8)-converted value
Europe (HIC),Switzerland,Aigle,2010,(17)-converted value
Europe (HIC),Switzerland,Aigle,2011,(18)-converted value
Europe (HIC),Switzerland,Aigle,2012,(16)-converted value
Europe (HIC),Switzerland,Aigle,2013,(16)-converted value
Europe (HIC),Switzerland,Aigle,2014,(13)-converted value
Europe (HIC),Switzerland,Aigle,2015,(14)-converted value
Europe (HIC),Switzerland,Altdorf,2010,(13)-converted value
Europe (HIC),Switzerland,Altdorf,2011,(14)-converted value
Europe (HIC),Switzerland,Altdorf,2012,(11)-converted value
Europe (HIC),Switzerland,Altdorf,2013,(13)-converted value
Europe (HIC),Switzerland,Altdorf,2014,(10)-converted value
Europe (HIC),Switzerland,Altdorf,2015,(11)-converted value
Europe (HIC),Switzerland,Altdorf,2016,(8)-converted value
Europe (HIC),Switzerland,Anieres,2010,(13)-converted value
Europe (HIC),Switzerland,Anieres,2011,(15)-converted value
Europe (HIC),Switzerland,Anieres,2012,(12)-converted value
Europe (HIC),Switzerland,Arbon,2011,(14)-converted value
Europe (HIC),Switzerland,Arbon,2013,(14)-converted value
Europe (HIC),Switzerland,Avully,2010,(13)-converted value
Europe (HIC),Switzerland,Avully,2011,(14)-converted value
Europe (HIC),Switzerland,Avully,2012,(12)-converted value
Europe (HIC),Switzerland,Avully,2013,(13)-converted value
Europe (HIC),Switzerland,Avully,2014,(11)-converted value
Europe (HIC),Switzerland,Avully,2015,(12)-converted value
Europe (HIC),Switzerland,Avully,2016,(10)-converted value
Europe (HIC),Switzerland,Baden,2010,(14)-converted value
Europe (HIC),Switzerland,Baden,2011,(15)-converted value
Europe (HIC),Switzerland,Baden,2012,(13)-converted value
Europe (HIC),Switzerland,Baden,2013,(14)-converted value
Europe (HIC),Switzerland,Baden,2014,(11)-converted value
Europe (HIC),Switzerland,Baden,2015,(13)-converted value
Europe (HIC),Switzerland,Baden,2016,(11)-converted value
Europe (HIC),Switzerland,Basel,2010,14
Europe (HIC),Switzerland,Basel,2011,14
Europe (HIC),Switzerland,Basel,2012,12
Europe (HIC),Switzerland,Basel,2013,14
Europe (HIC),Switzerland,Basel,2014,9
Europe (HIC),Switzerland,Basel,2015,12
Europe (HIC),Switzerland,Basel,2016,10
Europe (HIC),Switzerland,Bern,2010,18
Europe (HIC),Switzerland,Bern,2011,20
Europe (HIC),Switzerland,Bern,2012,(14)-converted value
Europe (HIC),Switzerland,Bern,2013,(18)-converted value
Europe (HIC),Switzerland,Bern,2014,(12)-converted value
Europe (HIC),Switzerland,Bern,2015,13
Europe (HIC),Switzerland,Bern,2016,12
Europe (HIC),Switzerland,Bevaix,2015,(11)-converted value
Europe (HIC),Switzerland,Bevaix,2016,(10)-converted value
Europe (HIC),Switzerland,Biberist,2010,(16)-converted value
Europe (HIC),Switzerland,Biberist,2011,(14)-converted value
Europe (HIC),Switzerland,Biberist,2012,(13)-converted value
Europe (HIC),Switzerland,Biberist,2013,(14)-converted value
Europe (HIC),Switzerland,Biberist,2014,(11)-converted value
Europe (HIC),Switzerland,Biberist,2015,(12)-converted value
Europe (HIC),Switzerland,Biberist,2016,(11)-converted value
Europe (HIC),Switzerland,Biel,2010,(14)-converted value
Europe (HIC),Switzerland,Biel,2011,(15)-converted value
Europe (HIC),Switzerland,Biel,2013,(13)-converted value
Europe (HIC),Switzerland,Biel,2014,(12)-converted value
Europe (HIC),Switzerland,Biel,2016,(10)-converted value
Europe (HIC),Switzerland,Binningen,2013,(13)-converted value
Europe (HIC),Switzerland,Binningen,2015,(11)-converted value
Europe (HIC),Switzerland,Binningen,2016,(10)-converted value
Europe (HIC),Switzerland,Bioggio,2010,(20)-converted value
Europe (HIC),Switzerland,Bioggio,2011,(24)-converted value
Europe (HIC),Switzerland,Bioggio,2012,(23)-converted value
Europe (HIC),Switzerland,Bioggio,2013,(19)-converted value
Europe (HIC),Switzerland,Bioggio,2014,(16)-converted value
Europe (HIC),Switzerland,Bioggio,2015,(21)-converted value
Europe (HIC),Switzerland,Bioggio,2016,(18)-converted value
Europe (HIC),Switzerland,Bodio,2010,(18)-converted value
Europe (HIC),Switzerland,Bodio,2011,(19)-converted value
Europe (HIC),Switzerland,Bodio,2012,(16)-converted value
Europe (HIC),Switzerland,Bodio,2013,(15)-converted value
Europe (HIC),Switzerland,Bodio,2014,(14)-converted value
Europe (HIC),Switzerland,Bodio,2015,(16)-converted value
Europe (HIC),Switzerland,Bodio,2016,(14)-converted value
Europe (HIC),Switzerland,Brigerbad,2010,(14)-converted value
Europe (HIC),Switzerland,Brigerbad,2011,(15)-converted value
Europe (HIC),Switzerland,Brigerbad,2012,(12)-converted value
Europe (HIC),Switzerland,Brigerbad,2013,(12)-converted value
Europe (HIC),Switzerland,Brigerbad,2014,(10)-converted value
Europe (HIC),Switzerland,Brigerbad,2015,(11)-converted value
Europe (HIC),Switzerland,Brigerbad,2016,(11)-converted value
Europe (HIC),Switzerland,Brione,2010,(11)-converted value
Europe (HIC),Switzerland,Brione,2011,(12)-converted value
Europe (HIC),Switzerland,Brione,2012,(12)-converted value
Europe (HIC),Switzerland,Brione,2013,(11)-converted value
Europe (HIC),Switzerland,Brione,2014,(9)-converted value
Europe (HIC),Switzerland,Brione,2015,(10)-converted value
Europe (HIC),Switzerland,Brione,2016,(10)-converted value
Europe (HIC),Switzerland,Bulle,2010,(13)-converted value
Europe (HIC),Switzerland,Bulle,2011,(13)-converted value
Europe (HIC),Switzerland,Bulle,2012,(12)-converted value
Europe (HIC),Switzerland,Bulle,2013,(13)-converted value
Europe (HIC),Switzerland,Bulle,2014,(10)-converted value
Europe (HIC),Switzerland,Bulle,2016,(10)-converted value
Europe (HIC),Switzerland,Bussigny,2013,(15)-converted value
Europe (HIC),Switzerland,Bussigny,2015,(14)-converted value
Europe (HIC),Switzerland,Cadenazzo,2013,(14)-converted value
Europe (HIC),Switzerland,Cadenazzo,2015,(14)-converted value
Europe (HIC),Switzerland,Cadenazzo,2016,(12)-converted value
Europe (HIC),Switzerland,Camignolo,2010,(16)-converted value
Europe (HIC),Switzerland,Camignolo,2011,(20)-converted value
Europe (HIC),Switzerland,Camignolo,2012,(17)-converted value
Europe (HIC),Switzerland,Camignolo,2013,(16)-converted value
Europe (HIC),Switzerland,Camignolo,2014,(12)-converted value
Europe (HIC),Switzerland,Camignolo,2015,(15)-converted value
Europe (HIC),Switzerland,Camignolo,2016,(12)-converted value
Europe (HIC),Switzerland,Castaneda,2010,(9)-converted value
Europe (HIC),Switzerland,Castaneda,2011,(11)-converted value
Europe (HIC),Switzerland,Castaneda,2012,(10)-converted value
Europe (HIC),Switzerland,Castaneda,2013,(9)-converted value
Europe (HIC),Switzerland,Chaumont,2010,(6)-converted value
Europe (HIC),Switzerland,Chaumont,2011,(7)-converted value
Europe (HIC),Switzerland,Chaumont,2012,(6)-converted value
Europe (HIC),Switzerland,Chaumont,2013,(6)-converted value
Europe (HIC),Switzerland,Chaumont,2014,(5)-converted value
Europe (HIC),Switzerland,Chaumont,2015,(6)-converted value
Europe (HIC),Switzerland,Chaumont,2016,(5)-converted value
Europe (HIC),Switzerland,Chiasso,2010,(23)-converted value
Europe (HIC),Switzerland,Chiasso,2011,(28)-converted value
Europe (HIC),Switzerland,Chiasso,2012,(25)-converted value
Europe (HIC),Switzerland,Chiasso,2013,(22)-converted value
Europe (HIC),Switzerland,Chiasso,2014,(19)-converted value
Europe (HIC),Switzerland,Chiasso,2015,(24)-converted value
Europe (HIC),Switzerland,Chiasso,2016,(16)-converted value
Europe (HIC),Switzerland,Chur,2010,(14)-converted value
Europe (HIC),Switzerland,Chur,2011,(15)-converted value
Europe (HIC),Switzerland,Chur,2012,(12)-converted value
Europe (HIC),Switzerland,Chur,2013,(12)-converted value
Europe (HIC),Switzerland,Chur,2014,(9)-converted value
Europe (HIC),Switzerland,Chur,2015,(11)-converted value
Europe (HIC),Switzerland,Chur,2016,(9)-converted value
Europe (HIC),Switzerland,Comano,2010,(16)-converted value
Europe (HIC),Switzerland,Comano,2011,(19)-converted value
Europe (HIC),Switzerland,Comano,2012,(17)-converted value
Europe (HIC),Switzerland,Comano,2013,(15)-converted value
Europe (HIC),Switzerland,Comano,2014,(12)-converted value
Europe (HIC),Switzerland,Comano,2015,(15)-converted value
Europe (HIC),Switzerland,Cornaux,2012,(12)-converted value
Europe (HIC),Switzerland,Cornaux,2013,(12)-converted value
Europe (HIC),Switzerland,Davos,2010,(8)-converted value
Europe (HIC),Switzerland,Davos,2011,(9)-converted value
Europe (HIC),Switzerland,Davos,2012,(8)-converted value
Europe (HIC),Switzerland,Davos,2013,(8)-converted value
Europe (HIC),Switzerland,Davos,2014,(8)-converted value
Europe (HIC),Switzerland,Davos,2015,(8)-converted value
Europe (HIC),Switzerland,Davos,2016,7
Europe (HIC),Switzerland,Delemont,2010,(15)-converted value
Europe (HIC),Switzerland,Delemont,2011,(14)-converted value
Europe (HIC),Switzerland,Delemont,2012,(14)-converted value
Europe (HIC),Switzerland,Delemont,2013,(13)-converted value
Europe (HIC),Switzerland,Delemont,2014,(12)-converted value
Europe (HIC),Switzerland,Delemont,2015,(13)-converted value
Europe (HIC),Switzerland,Delemont,2016,(12)-converted value
Europe (HIC),Switzerland,Dornach,2010,(13)-converted value
Europe (HIC),Switzerland,Dornach,2011,(12)-converted value
Europe (HIC),Switzerland,Dornach,2012,(11)-converted value
Europe (HIC),Switzerland,Dornach,2013,(11)-converted value
Europe (HIC),Switzerland,Dornach,2014,(10)-converted value
Europe (HIC),Switzerland,Dornach,2015,(12)-converted value
Europe (HIC),Switzerland,Dornach,2016,(9)-converted value
Europe (HIC),Switzerland,Dubendorf,2010,(13)-converted value
Europe (HIC),Switzerland,Dubendorf,2011,14
Europe (HIC),Switzerland,Dubendorf,2012,12
Europe (HIC),Switzerland,Dubendorf,2013,13
Europe (HIC),Switzerland,Dubendorf,2014,8
Europe (HIC),Switzerland,Dubendorf,2015,11
Europe (HIC),Switzerland,Dubendorf,2016,10
Europe (HIC),Switzerland,Ebikon,2010,(17)-converted value
Europe (HIC),Switzerland,Ebikon,2011,(16)-converted value
Europe (HIC),Switzerland,Ebikon,2012,(14)-converted value
Europe (HIC),Switzerland,Ebikon,2013,(16)-converted value
Europe (HIC),Switzerland,Ebikon,2014,(11)-converted value
Europe (HIC),Switzerland,Ebikon,2015,(13)-converted value
Europe (HIC),Switzerland,Ebikon,2016,(11)-converted value
Europe (HIC),Switzerland,Egerkingen,2010,(15)-converted value
Europe (HIC),Switzerland,Egerkingen,2011,(14)-converted value
Europe (HIC),Switzerland,Egerkingen,2012,(12)-converted value
Europe (HIC),Switzerland,Egerkingen,2013,(12)-converted value
Europe (HIC),Switzerland,Egerkingen,2014,(11)-converted value
Europe (HIC),Switzerland,Egerkingen,2015,(12)-converted value
Europe (HIC),Switzerland,Egerkingen,2016,(12)-converted value
Europe (HIC),Switzerland,Eggerberg,2010,(12)-converted value
Europe (HIC),Switzerland,Eggerberg,2011,(11)-converted value
Europe (HIC),Switzerland,Eggerberg,2012,(8)-converted value
Europe (HIC),Switzerland,Eggerberg,2013,(9)-converted value
Europe (HIC),Switzerland,Eggerberg,2014,(8)-converted value
Europe (HIC),Switzerland,Eggerberg,2015,(9)-converted value
Europe (HIC),Switzerland,Eggerberg,2016,(8)-converted value
Europe (HIC),Switzerland,Engelberg,2011,(14)-converted value
Europe (HIC),Switzerland,Erstfeld,2010,(15)-converted value
Europe (HIC),Switzerland,Erstfeld,2011,(18)-converted value
Europe (HIC),Switzerland,Erstfeld,2012,(11)-converted value
Europe (HIC),Switzerland,Erstfeld,2013,(11)-converted value
Europe (HIC),Switzerland,Erstfeld,2014,(8)-converted value
Europe (HIC),Switzerland,Erstfeld,2015,(10)-converted value
Europe (HIC),Switzerland,Erstfeld,2016,(9)-converted value
Europe (HIC),Switzerland,Frauenfeld,2010,(15)-converted value
Europe (HIC),Switzerland,Frauenfeld,2011,(15)-converted value
Europe (HIC),Switzerland,Frauenfeld,2012,(13)-converted value
Europe (HIC),Switzerland,Frauenfeld,2013,(13)-converted value
Europe (HIC),Switzerland,Frauenfeld,2014,(11)-converted value
Europe (HIC),Switzerland,Frauenfeld,2015,(11)-converted value
Europe (HIC),Switzerland,Frauenfeld,2016,(10)-converted value
Europe (HIC),Switzerland,Fribourg,2010,(15)-converted value
Europe (HIC),Switzerland,Fribourg,2011,(14)-converted value
Europe (HIC),Switzerland,Fribourg,2012,(13)-converted value
Europe (HIC),Switzerland,Fribourg,2013,(12)-converted value
Europe (HIC),Switzerland,Fribourg,2014,(11)-converted value
Europe (HIC),Switzerland,Fribourg,2015,(11)-converted value
Europe (HIC),Switzerland,Fribourg,2016,(11)-converted value
Europe (HIC),Switzerland,Frutigen,2010,(15)-converted value
Europe (HIC),Switzerland,Frutigen,2011,(14)-converted value
Europe (HIC),Switzerland,Frutigen,2012,(12)-converted value
Europe (HIC),Switzerland,Frutigen,2013,(14)-converted value
Europe (HIC),Switzerland,Frutigen,2014,(12)-converted value
Europe (HIC),Switzerland,Frutigen,2015,(12)-converted value
Europe (HIC),Switzerland,Frutigen,2016,(11)-converted value
Europe (HIC),Switzerland,Geneve,2010,(16)-converted value
Europe (HIC),Switzerland,Geneve,2011,(19)-converted value
Europe (HIC),Switzerland,Geneve,2012,(17)-converted value
Europe (HIC),Switzerland,Geneve,2013,(16)-converted value
Europe (HIC),Switzerland,Geneve,2014,(13)-converted value
Europe (HIC),Switzerland,Geneve,2015,(15)-converted value
Europe (HIC),Switzerland,Geneve,2016,(13)-converted value
Europe (HIC),Switzerland,Giubiasco,2010,(21)-converted value
Europe (HIC),Switzerland,Giubiasco,2011,(25)-converted value
Europe (HIC),Switzerland,Giubiasco,2012,(21)-converted value
Europe (HIC),Switzerland,Giubiasco,2013,(16)-converted value
Europe (HIC),Switzerland,Giubiasco,2014,(13)-converted value
Europe (HIC),Switzerland,Giubiasco,2015,(15)-converted value
Europe (HIC),Switzerland,Giubiasco,2016,(13)-converted value
Europe (HIC),Switzerland,Glarus,2010,(13)-converted value
Europe (HIC),Switzerland,Glarus,2012,(10)-converted value
Europe (HIC),Switzerland,Glarus,2013,(12)-converted value
Europe (HIC),Switzerland,Glarus,2014,(9)-converted value
Europe (HIC),Switzerland,Glarus,2016,(9)-converted value
Europe (HIC),Switzerland,Harkingen,2010,(16)-converted value
Europe (HIC),Switzerland,Harkingen,2011,16
Europe (HIC),Switzerland,Harkingen,2012,13
Europe (HIC),Switzerland,Harkingen,2013,14
Europe (HIC),Switzerland,Harkingen,2014,10
Europe (HIC),Switzerland,Harkingen,2015,12
Europe (HIC),Switzerland,Harkingen,2016,11
Europe (HIC),Switzerland,Heiden,2012,(10)-converted value
Europe (HIC),Switzerland,Ittigen,2010,(15)-converted value
Europe (HIC),Switzerland,Ittigen,2012,(13)-converted value
Europe (HIC),Switzerland,Ittigen,2013,(13)-converted value
Europe (HIC),Switzerland,Ittigen,2014,(11)-converted value
Europe (HIC),Switzerland,Ittigen,2015,(12)-converted value
Europe (HIC),Switzerland,Ittigen,2016,(11)-converted value
Europe (HIC),Switzerland,Kussnacht,2013,(6)-converted value
Europe (HIC),Switzerland,Kussnacht,2015,(6)-converted value
Europe (HIC),Switzerland,Kussnacht,2016,(5)-converted value
Europe (HIC),Switzerland,Lausanne,2010,(15)-converted value
Europe (HIC),Switzerland,Lausanne,2011,(17)-converted value
Europe (HIC),Switzerland,Lausanne,2012,(14)-converted value
Europe (HIC),Switzerland,Lausanne,2013,(15)-converted value
Europe (HIC),Switzerland,Lausanne,2014,(12)-converted value
Europe (HIC),Switzerland,Lausanne,2015,(13)-converted value
Europe (HIC),Switzerland,Lausanne,2016,(12)-converted value
Europe (HIC),Switzerland,Locarno,2010,(18)-converted value
Europe (HIC),Switzerland,Locarno,2011,(19)-converted value
Europe (HIC),Switzerland,Locarno,2012,(18)-converted value
Europe (HIC),Switzerland,Locarno,2013,(17)-converted value
Europe (HIC),Switzerland,Locarno,2014,(11)-converted value
Europe (HIC),Switzerland,Locarno,2015,(13)-converted value
Europe (HIC),Switzerland,Locarno,2016,(12)-converted value
Europe (HIC),Switzerland,Lugano,2010,(15)-converted value
Europe (HIC),Switzerland,Lugano,2011,18
Europe (HIC),Switzerland,Lugano,2012,16
Europe (HIC),Switzerland,Lugano,2013,15
Europe (HIC),Switzerland,Lugano,2014,10
Europe (HIC),Switzerland,Lugano,2015,13
Europe (HIC),Switzerland,Lugano,2016,13
Europe (HIC),Switzerland,Luzern,2010,(19)-converted value
Europe (HIC),Switzerland,Luzern,2011,(24)-converted value
Europe (HIC),Switzerland,Luzern,2012,(16)-converted value
Europe (HIC),Switzerland,Luzern,2013,(20)-converted value
Europe (HIC),Switzerland,Luzern,2014,(18)-converted value
Europe (HIC),Switzerland,Luzern,2015,(17)-converted value
Europe (HIC),Switzerland,Luzern,2016,(15)-converted value
Europe (HIC),Switzerland,Magadino,2010,(14)-converted value
Europe (HIC),Switzerland,Magadino,2011,16
Europe (HIC),Switzerland,Magadino,2012,15
Europe (HIC),Switzerland,Magadino,2013,14
Europe (HIC),Switzerland,Magadino,2014,10
Europe (HIC),Switzerland,Magadino,2015,13
Europe (HIC),Switzerland,Magadino,2016,12
Europe (HIC),Switzerland,Massongex,2010,(16)-converted value
Europe (HIC),Switzerland,Massongex,2011,(19)-converted value
Europe (HIC),Switzerland,Massongex,2012,(14)-converted value
Europe (HIC),Switzerland,Massongex,2013,(14)-converted value
Europe (HIC),Switzerland,Massongex,2014,(12)-converted value
Europe (HIC),Switzerland,Massongex,2015,(13)-converted value
Europe (HIC),Switzerland,Massongex,2016,(10)-converted value
Europe (HIC),Switzerland,Mendrisio,2010,(22)-converted value
Europe (HIC),Switzerland,Mendrisio,2011,(26)-converted value
Europe (HIC),Switzerland,Mendrisio,2012,(24)-converted value
Europe (HIC),Switzerland,Mendrisio,2013,(21)-converted value
Europe (HIC),Switzerland,Mendrisio,2014,(18)-converted value
Europe (HIC),Switzerland,Mendrisio,2015,(22)-converted value
Europe (HIC),Switzerland,Mendrisio,2016,(18)-converted value
Europe (HIC),Switzerland,Meyrin,2010,(14)-converted value
Europe (HIC),Switzerland,Meyrin,2011,(16)-converted value
Europe (HIC),Switzerland,Meyrin,2012,(13)-converted value
Europe (HIC),Switzerland,Meyrin,2013,(14)-converted value
Europe (HIC),Switzerland,Meyrin,2014,(12)-converted value
Europe (HIC),Switzerland,Meyrin,2015,(13)-converted value
Europe (HIC),Switzerland,Meyrin,2016,(11)-converted value
Europe (HIC),Switzerland,Moleno,2010,(17)-converted value
Europe (HIC),Switzerland,Moleno,2011,(19)-converted value
Europe (HIC),Switzerland,Moleno,2012,(15)-converted value
Europe (HIC),Switzerland,Moleno,2013,(15)-converted value
Europe (HIC),Switzerland,Moleno,2014,(12)-converted value
Europe (HIC),Switzerland,Moleno,2015,(15)-converted value
Europe (HIC),Switzerland,Moleno,2016,(12)-converted value
Europe (HIC),Switzerland,Montana,2015,(7)-converted value
Europe (HIC),Switzerland,Montreux,2010,(14)-converted value
Europe (HIC),Switzerland,Montreux,2014,(9)-converted value
Europe (HIC),Switzerland,Montreux,2016,(9)-converted value
Europe (HIC),Switzerland,Morges,2010,(16)-converted value
Europe (HIC),Switzerland,Morges,2011,(18)-converted value
Europe (HIC),Switzerland,Morges,2012,(16)-converted value
Europe (HIC),Switzerland,Morges,2013,(16)-converted value
Europe (HIC),Switzerland,Morges,2014,(13)-converted value
Europe (HIC),Switzerland,Morges,2015,(14)-converted value
Europe (HIC),Switzerland,Morges,2016,(13)-converted value
Europe (HIC),Switzerland,Muttenz,2010,(18)-converted value
Europe (HIC),Switzerland,Muttenz,2011,(17)-converted value
Europe (HIC),Switzerland,Muttenz,2012,(15)-converted value
Europe (HIC),Switzerland,Muttenz,2013,(16)-converted value
Europe (HIC),Switzerland,Muttenz,2014,(12)-converted value
Europe (HIC),Switzerland,Muttenz,2015,(15)-converted value
Europe (HIC),Switzerland,Muttenz,2016,(13)-converted value
Europe (HIC),Switzerland,Neuchatel,2010,(12)-converted value
Europe (HIC),Switzerland,Neuchatel,2011,(14)-converted value
Europe (HIC),Switzerland,Neuchatel,2012,(11)-converted value
Europe (HIC),Switzerland,Neuchatel,2013,(9)-converted value
Europe (HIC),Switzerland,Neuchatel,2014,(10)-converted value
Europe (HIC),Switzerland,Neuchatel,2015,(9)-converted value
Europe (HIC),Switzerland,Neuchatel,2016,(8)-converted value
Europe (HIC),Switzerland,Neuhausen,2010,(12)-converted value
Europe (HIC),Switzerland,Neuhausen,2012,(10)-converted value
Europe (HIC),Switzerland,Neuhausen,2013,(11)-converted value
Europe (HIC),Switzerland,Neuhausen,2014,(9)-converted value
Europe (HIC),Switzerland,Nyon,2010,(16)-converted value
Europe (HIC),Switzerland,Nyon,2011,(18)-converted value
Europe (HIC),Switzerland,Nyon,2012,(15)-converted value
Europe (HIC),Switzerland,Nyon,2013,(14)-converted value
Europe (HIC),Switzerland,Nyon,2014,(12)-converted value
Europe (HIC),Switzerland,Nyon,2015,(12)-converted value
Europe (HIC),Switzerland,Nyon,2016,(12)-converted value
Europe (HIC),Switzerland,Olten,2010,(14)-converted value
Europe (HIC),Switzerland,Olten,2011,(14)-converted value
Europe (HIC),Switzerland,Olten,2012,(12)-converted value
Europe (HIC),Switzerland,Olten,2013,(12)-converted value
Europe (HIC),Switzerland,Olten,2014,(10)-converted value
Europe (HIC),Switzerland,Opfikon,2010,(16)-converted value
Europe (HIC),Switzerland,Opfikon,2011,(16)-converted value
Europe (HIC),Switzerland,Opfikon,2012,(14)-converted value
Europe (HIC),Switzerland,Opfikon,2013,(15)-converted value
Europe (HIC),Switzerland,Opfikon,2014,(12)-converted value
Europe (HIC),Switzerland,Opfikon,2015,(12)-converted value
Europe (HIC),Switzerland,Opfikon,2016,(12)-converted value
Europe (HIC),Switzerland,Payerne,2010,12
Europe (HIC),Switzerland,Payerne,2011,12
Europe (HIC),Switzerland,Payerne,2012,10
Europe (HIC),Switzerland,Payerne,2013,13
Europe (HIC),Switzerland,Payerne,2014,8
Europe (HIC),Switzerland,Payerne,2015,10
Europe (HIC),Switzerland,Payerne,2016,8
Europe (HIC),Switzerland,Porrentruy,2010,(14)-converted value
Europe (HIC),Switzerland,Porrentruy,2011,(13)-converted value
Europe (HIC),Switzerland,Porrentruy,2012,(13)-converted value
Europe (HIC),Switzerland,Porrentruy,2013,(13)-converted value
Europe (HIC),Switzerland,Porrentruy,2014,(11)-converted value
Europe (HIC),Switzerland,Porrentruy,2015,(10)-converted value
Europe (HIC),Switzerland,Porrentruy,2016,(10)-converted value
Europe (HIC),Switzerland,Rapperswil,2011,(14)-converted value
